Fold,Task,N,MAE,RMSE,R²,r,p-value,Epoch,Val_Loss
0,Orbital_tightening,35,0.5155177346297672,0.549176870796795,0.001475269476841401,0.2725109153108235,0.11324212636441935,1,1.0339475870132446
0,Tension_above_eyes,35,0.2495408535003662,0.3360949665072351,-0.482597667732362,-0.4830791075349731,0.00328739966979987,1,1.0339475870132446
0,Cheek_tightening,35,0.30901855613504137,0.39332489413042,-0.31809644236642254,0.24884569906791468,0.1494395581985436,1,1.0339475870132446
0,Ears_frontal,35,0.2632450056927545,0.34776087814216444,-0.0256441071447413,0.5175822604329929,0.0014511754621548785,1,1.0339475870132446
0,Ears_lateral,35,0.5191622665950231,0.5404802474495386,0.01989936392390712,0.5591489414166078,0.0004800012342785256,1,1.0339475870132446
0,Lip_jaw_profile,35,0.35342279161725726,0.4257407938688925,0.08164578269969613,0.38374659596233673,0.022861569082580257,1,1.0339475870132446
0,Nostril_muzzle,35,0.2880247925009046,0.34515042455125616,0.11496280787513591,0.5596567886490388,0.0004731282866856934,1,1.0339475870132446
0,Total_Facial_scale,35,2.0258685537746977,2.409491922673839,0.022251873550205636,0.5454927205908314,0.0007014130942698011,1,1.0339475870132446
1,Orbital_tightening,35,0.5303801349231175,0.5629370676504519,-0.04918975772213807,0.20634418015235448,0.23433533213705512,1,1.4761180877685547
1,Tension_above_eyes,35,0.21266620073999679,0.29787040988827995,-0.16453895838457333,-0.11537194480429475,0.5092727109597871,1,1.4761180877685547
1,Cheek_tightening,35,0.2789557661328997,0.3730538423681549,-0.18573422067916434,-0.41133484566530354,0.01409343885923956,1,1.4761180877685547
1,Ears_frontal,35,0.2593396042074476,0.3173517683482034,0.14588354920550473,0.46043751841557323,0.005380933604274884,1,1.4761180877685547
1,Ears_lateral,35,0.49599397012165614,0.5324724362255827,0.048726759955766585,0.30453379544262493,0.07528312442333775,1,1.4761180877685547
1,Lip_jaw_profile,35,0.40854898691177366,0.4670745931012047,-0.10533057070311047,-0.42034094692059015,0.011932214605676327,1,1.4761180877685547
1,Nostril_muzzle,35,0.29124508585248676,0.38734499042692755,-0.11465529858335888,0.56170953825207,0.0004462302250991636,1,1.4761180877685547
1,Total_Facial_scale,35,2.091530508654458,2.4444359218789593,-0.006313635370884141,0.24287941848380143,0.1597647797241168,1,1.4761180877685547
2,Orbital_tightening,35,0.513998646395547,0.5446729281317975,0.01778643120593837,0.16116467486201536,0.3550169691808519,1,2.484468698501587
2,Tension_above_eyes,35,0.22774824840681893,0.29479943921824997,-0.14065051790201077,-0.14419849286433303,0.4085545381966573,1,2.484468698501587
2,Cheek_tightening,35,0.2915072969027928,0.3842520285692323,-0.2579884589987034,-0.38393791833408536,0.022787992433681337,1,2.484468698501587
2,Ears_frontal,35,0.2769355918679919,0.35421514480869337,-0.0640682709210958,0.09194289912488525,0.5993733170566012,1,2.484468698501587
2,Ears_lateral,35,0.5371679289000375,0.5668832649985556,-0.07819742497326132,0.2985234760826164,0.08152310875129776,1,2.484468698501587
2,Lip_jaw_profile,35,0.41040256534303937,0.4628551482521319,-0.08545016944051764,-0.1788657399283752,0.3039150180812841,1,2.484468698501587
2,Nostril_muzzle,35,0.2788930475711823,0.35446169255927057,0.06656665413952478,0.4196395121583435,0.012089818437867885,1,2.484468698501587
